logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
FOXA1	6.6928607894087	6.35808840035373	7.02763317846367	7.3650685841337	39.5014791650084	2.22289163716576e-81	3.74179349284113e-77	174.391745874499
ESR1	6.87417579754944	6.3849372602956	7.36341433480329	7.82199057747808	27.7620270856322	4.09620051825816e-61	3.44756716619198e-57	128.634513831739
SPDEF	5.73479191094612	5.2993746273844	6.17020919450784	6.43949682444846	26.0233497219261	1.31210666593627e-57	7.36223050256844e-54	120.659625420526
MLPH	5.39201391793534	4.96992915371374	5.81409868215695	7.33958782653281	25.2407657780827	5.56260577139054e-56	2.34088357374543e-52	117.020622892627
XBP1	3.37064386154007	3.08865403985961	3.65263368322054	10.5973349095678	23.6173210398561	1.66937579344952e-52	5.62012054622717e-49	109.103056944361
CT62	6.20748355148182	5.6649727064335	6.74999439653015	0.182837845262426	22.6078025376879	2.85513640213765e-50	8.01008517619718e-47	102.328373000105
SLC7A8	3.6440638999374	3.32363905929863	3.96448874057617	6.77816338657326	22.4704104324444	5.80502614755932e-50	1.39594293059809e-46	103.282245184656
AGR2	7.58153207586643	6.87656683681291	8.28649731491996	7.497147059867	21.2490966518376	3.53653409366798e-47	7.44130979983915e-44	96.8515460419944
PRR15	5.26794632677462	4.7775738287246	5.75831882482464	4.18066899569842	21.2259156638884	4.00151166131455e-47	7.48416064387865e-44	96.6372931977543
GATA3	4.43570273700458	4.02211734260618	4.84928813140298	8.60808534293591	21.1908529876357	4.82417851836226e-47	8.1205396999592e-44	96.5956805735174
CA12	5.00573221969163	4.52406336363863	5.48740107574463	8.11880985150789	20.5338433820536	1.6497668409344e-45	2.52459320304079e-42	93.0797217947068
DNALI1	5.49685704995876	4.96697366207673	6.0267404378408	4.50256921643515	20.4967657040484	2.01696296157613e-45	2.82929479435091e-42	92.7850528685722
GPR77	4.50406520424223	4.05293864606921	4.95519176241526	1.75807372917011	19.7268377303632	1.36136643375361e-43	1.76276009072112e-40	88.2175214552235
TBC1D9	4.06823362187512	3.65773589970999	4.47873134404025	8.20113432915783	19.5815168793724	3.03994138660481e-43	3.65509524005134e-40	87.8838769694364
SLC44A4	6.32021238055345	5.68110925041582	6.95931551069107	5.80690655704389	19.5394315959809	3.83811849378083e-43	4.30713657372085e-40	87.6278618482991
FOXC1	-4.12705230319255	-4.5519477961407	-3.7021568102444	3.33189131013032	-19.1915055825724	2.65985841932856e-42	2.72648365923796e-39	85.6659660049903
KCNJ11	3.6923705022142	3.3121043554319	4.07263664899651	3.65821535848266	19.1853093794746	2.75353307236056e-42	2.72648365923796e-39	85.6322381321197
B3GNT5	-3.16755443918266	-3.49830874462045	-2.83680013374488	2.92986216742743	-18.9221194487491	1.20303596375713e-41	1.12503913210688e-38	84.1401178337999
THSD4	4.29882641905253	3.84618675937517	4.75146607872989	6.51146366167	18.7649971958671	2.91303990175901e-41	2.58080003506892e-38	83.3481703720326
AGR3	9.37248228471888	8.35262010107236	10.3923444683654	4.99401325462482	18.157846395997	9.13462698150503e-40	7.68815879898371e-37	79.7541204037388
SIDT1	4.22281895540659	3.76250052963381	4.68313738117936	4.65778280239509	18.1257214339589	1.0974875245688e-39	8.79714642907933e-37	79.7368769930572
C6orf97	4.48976660704812	3.99493931704803	4.98459389704821	3.91551472757332	17.9275656079215	3.41382303152099e-39	2.61204014043604e-36	78.5835861388616
ZNF552	3.29542356967073	2.91465014984363	3.67619698949782	5.71393236869287	17.0999884573653	4.10178506229441e-37	3.0019716501566e-34	73.8405481053885
GPR160	2.82357299119892	2.4949445355456	3.15220144685224	5.25527037433315	16.9763785682609	8.44313252488641e-37	5.92180207464221e-34	73.1261190094025
ROPN1	-7.16479368462274	-8.00210647258458	-6.32748089666091	-2.17465364943205	-16.9070237690653	1.26689262791096e-36	8.53024144225006e-34	71.9302913763353
IFRD1	-1.83801668997294	-2.05414651053415	-1.62188686941173	4.78643249991292	-16.8029662838295	2.33124259834538e-36	1.50930025607492e-33	72.1150637805257
ACADSB	3.00794482421415	2.65135552190905	3.36453412651925	6.47506597937817	16.6668203258439	5.18653414506176e-36	3.23351589866017e-33	71.2953677520187
DEGS2	4.78063200099772	4.21224562847827	5.34901837351717	5.13683474074523	16.6185395740093	6.89037232976473e-36	4.14234419381892e-33	71.0550476137392
BCL11A	-4.7933119269997	-5.37919718312197	-4.20742667087743	0.987320561990273	-16.1649483373964	1.00563866866449e-34	5.83721231366528e-32	68.2375561721053
FBP1	3.30329118239143	2.8962537810746	3.71032858370825	5.95741746627437	16.0348070868512	2.17850802254985e-34	1.22236085145272e-31	67.5884426713373
ABCC8	7.48378650635778	6.55099583506009	8.41657717765546	1.16025542412295	15.8521580516471	6.46487910998859e-34	3.5104293567238e-31	66.227079726097
TTC36	5.94139619446299	5.19503088061528	6.6877615083107	0.000927386672971054	15.72853466565	1.35238128819137e-33	7.11394819503915e-31	65.3302549788695
LMX1B	2.94561148760471	2.57523261874129	3.31599035646813	5.65902641020352	15.7137725291309	1.47712723214897e-33	7.53469172689804e-31	65.6806903901639
YBX1	-1.59677590074004	-1.79838088546635	-1.39517091601372	8.11828248300673	-15.6492634459192	2.17256320199311e-33	1.06797335163213e-30	65.2530246245269
ERBB4	6.20505096832086	5.42143360351061	6.98866833313112	4.15436525291755	15.6456099892926	2.22058262384153e-33	1.06797335163213e-30	65.3169680749484
LOC145837	5.72138403439557	4.99829794216459	6.44447012662654	1.00505800456384	15.633718561085	2.3843712584397e-33	1.11489226092543e-30	64.9822315989595
C9orf152	4.55641198096331	3.97433508083072	5.13848888109591	3.9355766804934	15.4665631383837	6.49279458215627e-33	2.9538705730118e-30	64.2596565534649
