sample_name	TCGA-A2-A04V-01	TCGA-A2-A0CK-01	TCGA-A2-A0YE-01	TCGA-A2-A1FZ-01	TCGA-A2-A25E-01	TCGA-A7-A56D-01	TCGA-A8-A06P-01	TCGA-A8-A07Z-01	TCGA-A8-A08I-01	TCGA-A8-A0A1-01	TCGA-A8-A0A4-01	TCGA-AN-A049-01	TCGA-AN-A0FS-01	TCGA-AN-A0FY-01	TCGA-AO-A0J7-01	TCGA-AO-A0JG-01	TCGA-AO-A0JI-01	TCGA-AO-A125-01	TCGA-AO-A12F-01	TCGA-AO-A1KR-01	TCGA-AO-A1KT-01	TCGA-AR-A24N-01	TCGA-BH-A0C1-01	TCGA-BH-A0EB-01	TCGA-BH-A0HQ-01	TCGA-BH-A0W4-01	TCGA-BH-A28Q-01	TCGA-C8-A12X-01	TCGA-C8-A130-01	TCGA-C8-A134-01	TCGA-D8-A143-01	TCGA-D8-A1JM-01	TCGA-D8-A1X8-01	TCGA-D8-A1XR-01	TCGA-D8-A27F-01	TCGA-D8-A27M-01	TCGA-D8-A27P-01	TCGA-D8-A27R-01	TCGA-E2-A10B-01	TCGA-E2-A10C-01	TCGA-E2-A15H-01	TCGA-E2-A15L-01	TCGA-E2-A1IF-01	TCGA-E9-A1NC-01	TCGA-E9-A22A-01	TCGA-E9-A22B-01	TCGA-E9-A22G-01	TCGA-E9-A22H-01	TCGA-EW-A1P5-01	TCGA-PE-A5DD-01
Entrezid:100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:100133144	11	2	75	10	37	7	9	3	43	32	22	17	14	27	8	33	9	19	31	0	29	4	38	15	11	39	42	8	23	60	12	63	9	48	77	31	29	11	13	30	18	8	0	8	18	9	59	10	25	8
Entrezid:100134869	13	7	66	9	35	0	4	2	19	17	15	6	18	38	10	29	19	15	42	11	8	11	19	18	6	29	28	4	38	77	3	40	5	15	45	26	18	25	12	14	15	6	9	8	8	11	49	3	17	22
Entrezid:10357	409	281	479	253	228	87	287	163	694	179	419	249	516	684	268	277	94	162	433	196	265	270	240	418	202	367	312	73	1007	693	328	321	339	358	257	261	162	298	266	196	265	321	188	273	465	506	552	344	283	213
Entrezid:10431	2522	1969	2278	1927	4721	1960	3433	2731	2808	1599	2068	2514	3545	2954	3394	2740	2549	3153	6496	3348	4570	3248	2159	3207	1759	2749	3177	1690	6061	8685	3456	5814	3154	3507	5257	2031	1518	5874	3164	10530	2750	2446	2625	4396	5707	3374	5494	4979	1609	2463
Entrezid:136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:155060	326	651	662	336	570	378	624	202	779	208	427	337	586	875	377	400	321	1679	842	244	396	586	412	150	467	954	946	248	895	917	134	1168	374	722	624	489	433	471	545	818	584	445	721	187	435	225	735	447	442	576
Entrezid:26823	0	0	1	0	5	0	0	0	10	0	1	0	3	3	1	1	2	4	5	1	1	2	0	0	2	0	2	0	1	0	0	2	8	5	0	3	4	1	1	2	3	1	0	1	1	0	2	4	1	4
Entrezid:280660	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
