	TCGA-E2-A15F-01	TCGA-AO-A1KR-01	TCGA-D8-A1JM-01	TCGA-A7-A4SE-01	TCGA-E2-A15S-01	TCGA-A2-A0ER-01	TCGA-E2-A105-01	TCGA-A7-A5ZW-01	TCGA-BH-A0EA-01	TCGA-AN-A0AS-01	TCGA-E2-A14O-01	TCGA-E2-A574-01	TCGA-C8-A274-01	TCGA-AN-A0AJ-01	TCGA-E2-A1AZ-01
Entrezid:100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:100133144	41	0	63	21	65	26	63	0	10	8	27	0	68	44	9
Entrezid:100134869	12	11	40	40	34	10	52	11	21	21	19	15	73	6	10
Entrezid:10357	213	196	321	315	228	366	292	409	164	218	244	385	276	386	228
Entrezid:10431	2290	3348	5814	1176	5266	3073	2942	2170	1369	1988	5872	2640	4705	4941	2106
Entrezid:136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:155060	883	244	1168	1103	1762	329	1875	537	600	128	295	304	786	160	368
Entrezid:26823	0	1	2	0	1	1	3	1	4	0	0	0	8	1	1
Entrezid:280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:340602	0	0	0	1	1	0	0	2	0	0	0	0	1	1	0
Entrezid:388795	4	1	0	0	9	4	3	2	1	8	0	29	4	0	1
Entrezid:390284	7	10	13	3	34	30	16	11	14	12	15	26	13	27	4
Entrezid:391343	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0
Entrezid:391714	2	0	0	0	0	0	1	0	0	1	0	0	0	3	1
Entrezid:404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:553137	6	0	1	3	51	18	0	0	8	0	2	0	0	19	0
Entrezid:57714	2016	753	956	1248	2522	3271	1906	436	1069	2526	744	106	2008	2164	1793
Entrezid:645851	53	21	20	55	73	10	58	2	31	10	20	7	50	24	30
Entrezid:652919	255	0	101	50	0	77	95	32	28	104	0	0	165	0	48
Entrezid:653553	1072	153	138	225	509	654	2031	398	254	692	4496	370	1162	3965	23
Entrezid:728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:728603	0	0	0	0	0	0	0	10	0	0	0	0	3	0	0
Entrezid:728788	0	0	0	0	13	0	2	1	3	0	0	0	0	0	0
Entrezid:729884	6	181	6	5	1	4	5	12	16	0	3	9	16	1	140
Entrezid:8225	746	628	1649	1053	2031	548	1034	1317	886	1175	1629	1168	1341	1407	241
Entrezid:90288	29	36	20	18	183	84	179	120	303	19	635	0	253	611	19
A1BG	297	193	31	159	578	224	957	301	294	496	852	726	799	297	150
A1CF	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1
A2BP1	9	0	1	0	5	0	0	0	0	18	0	0	6	0	0
A2LD1	156	24	147	66	131	258	729	286	120	187	137	265	465	216	38
A2ML1	2	9	43123	590	19	0	4	5	3	3	2	3037	5	106	179
A2M	17148	9696	22628	46859	24670	29370	19468	34662	46859	23973	6269	1975	15091	22447	16998
A4GALT	624	185	1739	618	1833	132	1223	919	1108	2173	1300	414	377	632	116
A4GNT	0	0	2	5	0	1	0	0	1	0	1	0	0	5	4
AAA1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AAAS	1709	998	2347	1859	3109	1939	2813	1484	1401	820	3006	1681	2340	3132	593
AACSL	0	0	0	0	7	2	40	2	0	0	0	0	3	3	5
AACS	3904	1670	1290	1707	5548	6022	1826	1491	2394	3802	3875	1703	4023	1155	338
AADACL2	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
AADAC	0	3	1	11	0	7	0	1	0	3	7	3	0	17	0
AADAT	92	276	393	284	360	96	225	179	40	83	22	309	65	59	366
AAGAB	6949	1030	5158	1110	8566	9344	8212	4272	2980	2464	4955	2033	7543	5072	1000
AAK1	2938	1411	1937	1215	2615	3752	2345	1453	2097	2216	1208	964	5592	2657	1488
AAMP	7939	5163	9037	2814	12525	9079	6794	5753	4579	5227	6452	6300	7621	8299	1304
AANAT	2	1	12	0	1	0	2	0	0	0	0	0	0	0	0
AARS2	628	1419	1728	1476	2537	965	1404	856	860	731	1035	1197	1237	3115	532
AARSD1	729	934	864	822	2227	1926	2849	1410	860	745	2663	3106	1686	2292	404
AARS	5555	5285	27415	5466	12263	18767	8629	3706	4005	9703	10485	5277	7623	14552	3232
AASDHPPT	1762	780	1991	1202	2413	1728	2561	2619	1694	1308	1802	1561	4353	3240	2144
AASDH	1004	219	917	357	1317	1167	927	764	787	407	472	320	1472	1307	794
AASS	835	568	135	231	490	981	730	821	654	204	64	60	431	202	577
AATF	2554	2503	3009	1849	7646	3075	6476	2194	2157	1954	6459	3583	3744	6105	2114
AATK	431	144	47	81	913	433	1839	92	246	223	60	57	79	47	84
ABAT	8231	172	187	244	373	20272	1297	3546	2965	192	7247	25	19330	1352	335
ABCA10	38	9	11	44	182	30	116	92	77	5	8	15	4	25	41
ABCA11P	253	189	203	206	1229	168	827	373	258	117	111	406	514	1150	134
ABCA12	63	18	23	28	172	61	122	485	47	25	1867	20	3189	16049	3
ABCA13	4	50	26	7	2	2	0	3	16	10	0	32	7	2	151
ABCA17P	25	8	5	32	30	13	109	25	42	1	24	25	15	8	5
ABCA1	1459	196	1005	1023	1382	3689	1454	1670	1619	5011	490	142	2754	3006	1442
ABCA2	4480	5748	4836	1441	11877	3365	10424	1990	5456	2969	1996	792	4681	3314	510
ABCA3	12608	461	1313	2009	3498	22504	7009	2974	3809	2648	7853	3581	5017	3084	274
ABCA4	20	224	21	1270	10	518	19	25	106	246	199	45	463	5	78
ABCA5	872	32	348	332	9966	1382	2824	506	607	136	693	243	103	642	385
ABCA6	88	12	16	57	225	98	182	350	338	136	45	6	45	247	263
ABCA7	714	355	444	433	851	1166	1300	354	467	136	689	1170	760	426	105
ABCA8	229	40	0	239	160	340	56	914	1019	33	6	27	22	127	120
ABCA9	81	32	5	71	354	118	114	388	166	47	39	9	33	73	145
ABCB10	1461	246	2265	1304	1235	1717	1163	1578	1108	840	875	910	3964	1602	784
ABCB11	0	0	25	1	6	1	4	5	6	4	1	0	1	1	0
ABCB1	166	45	62	79	171	249	125	442	419	9	11	2	51	63	247
ABCB4	39	2	6	18	37	159	43	83	36	98	38	24	70	59	15
ABCB5	4	0	0	29	7	17	8	18	21	9	9	152	3	1	8
ABCB6	1566	1272	943	935	2792	964	1795	593	1205	1173	1672	1042	783	1705	353
ABCB7	967	524	1808	817	1538	1846	975	1140	1247	996	674	888	1841	1635	1021
ABCB8	1973	1170	959	1361	1483	1320	1924	1552	1523	735	1847	1297	2368	1593	595
ABCB9	260	357	2079	142	1914	221	834	167	254	77	2212	218	445	517	122
ABCC10	784	306	661	1414	1922	899	1786	639	819	596	860	1725	951	1337	506
ABCC11	233	5	5	3	214	7752	4	365	1183	6	1722	1	6687	497	1
ABCC12	1	0	0	0	7	2	0	1	14	0	31	0	212	4	2
ABCC13	4	0	1	1	0	0	26	74	1	18	15	4	3	6	1
ABCC1	3779	2505	4664	3936	4628	3807	4886	1866	2799	3062	4382	1639	7548	5868	1816
ABCC2	16	5	27	64	73	1	25	21	20	11	10	7	40	69	17
ABCC3	419	207	67	847	267	2400	696	686	1386	1288	388	55	2250	488	257
ABCC4	227	40	1543	379	852	249	88	477	410	621	46	1287	141	481	571
ABCC5	3645	1441	3550	2859	6939	2357	5789	845	3601	1615	8314	1815	10519	13835	1305
ABCC6P1	1	2	6	0	12	0	0	4	6	0	8	5	19	70	1
ABCC6P2	43	42	68	7	39	29	1	40	32	5	200	16	61	118	11
ABCC6	89	95	87	53	54	153	16	132	283	31	1079	45	275	805	27
ABCC8	1012	4	5	10	1332	401	769	390	481	17	229	0	1330	56	0
ABCC9	283	81	839	302	558	586	219	449	737	457	97	20	250	372	530
ABCD1	676	447	1019	1112	1388	1149	3591	542	1016	1090	738	1086	886	640	251
ABCD2	53	9	521	11	14	22	7	27	345	9	2	11	15	81	72
ABCD3	20458	481	10211	2862	3796	34281	4514	8048	3435	4483	5825	1991	6630	2864	1923
ABCD4	400	339	264	617	1113	2051	1617	1370	1159	690	1390	993	1448	1382	496
ABCE1	4561	2888	6313	2383	3200	4536	5691	4308	2472	3436	1951	3060	6408	15562	5062
ABCF1	2291	1909	3834	6140	9320	5243	5125	3509	2969	3140	3296	5029	3481	12002	2406
