	TCGA-A7-A13F-01	TCGA-A2-A0YE-01	TCGA-BH-A0B0-01	TCGA-C8-A131-01	TCGA-A2-A0D3-01	TCGA-AN-A0XN-01	TCGA-E2-A573-01	TCGA-E2-A15P-01	TCGA-A2-A25F-01	TCGA-AO-A12F-01	TCGA-E2-A1IK-01	TCGA-E9-A1NC-01	TCGA-EW-A1P4-01	TCGA-AR-A24N-01	TCGA-BH-A18I-01	TCGA-AR-A24L-01	TCGA-BH-A18G-01	TCGA-AO-A0JG-01	TCGA-BH-A0BD-01	TCGA-E2-A15I-01	TCGA-BH-A5IZ-01	TCGA-D8-A1JS-01	TCGA-AO-A03P-01
Entrezid:100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:100133144	0	75	12	15	39	13	6	13	10	31	6	8	3	4	40	27	28	33	27	44	22	0	41
Entrezid:100134869	3	66	8	28	14	8	3	10	15	42	3	8	7	11	24	30	1	29	15	24	31	5	32
Entrezid:10357	193	479	278	469	274	162	636	282	375	433	124	273	345	270	311	242	206	277	428	295	295	264	429
Entrezid:10431	2457	2278	3136	2831	2688	1720	3907	2258	2598	6496	2023	4396	3321	3248	3314	13084	2959	2740	2916	1550	1910	4129	3691
Entrezid:136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:155060	100	662	248	385	602	169	650	1162	234	842	58	187	294	586	522	277	124	400	315	1161	312	513	539
Entrezid:26823	1	1	0	1	3	1	0	7	0	5	0	1	0	2	2	0	0	1	1	10	0	1	7
Entrezid:280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:340602	0	4	0	0	0	1	0	0	3	0	0	1	1	0	1	1	0	0	0	1	0	0	0
Entrezid:388795	0	0	0	2	1	2	10	3	6	8	1	2	1	2	2	9	0	0	0	1	0	2	2
Entrezid:390284	32	10	29	17	19	12	19	13	19	21	18	9	20	21	26	26	18	13	20	8	6	10	27
Entrezid:391343	1	0	0	0	10	0	0	7	1	0	0	0	0	0	2	0	0	1	2	3	0	0	0
Entrezid:391714	0	2	0	0	1	0	0	1	2	2	0	0	1	0	2	1	0	0	2	0	0	0	1
Entrezid:404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:442388	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Entrezid:553137	7	0	0	1	0	2	1	0	6	3	0	1	1	1	0	14	0	3	14	0	1	3	0
Entrezid:57714	848	4225	1189	393	1563	2100	1351	5319	9632	728	625	391	5772	6142	2234	7413	329	3009	3938	3374	1599	275	1383
Entrezid:645851	10	39	24	7	38	6	28	87	26	127	0	12	11	40	48	19	4	67	22	72	3	12	15
Entrezid:652919	18	37	35	0	107	101	22	236	270	23	0	0	0	40	128	298	0	0	24	39	4	0	0
Entrezid:653553	1688	198	250	316	2101	371	256	528	323	175	323	1186	425	2563	1009	1502	614	329	1191	484	790	193	1180
Entrezid:728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Entrezid:728788	0	0	1	0	1	0	2	3	1	1	0	0	0	0	1	0	0	3	0	3	0	1	4
Entrezid:729884	2	4	10	59	130	6	18	25	2	1	6	8	48	1	13	162	1	37	0	10	0	90	3
Entrezid:8225	975	974	1171	1058	1408	402	1915	1487	1113	920	591	2293	623	680	1391	873	768	1222	1151	1163	2525	1971	1832
Entrezid:90288	48	5	136	11	504	44	10	402	9	39	85	4	20	334	262	87	7	17	100	387	11	693	32
A1BG	575	558	326	467	259	295	194	494	127	252	421	381	277	209	418	695	34	733	272	344	197	1011	687
A1CF	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
A2BP1	0	0	5	0	0	0	0	2	3	1	132	0	0	0	0	0	0	0	0	0	0	0	27
A2LD1	113	43	147	184	348	126	103	305	380	73	162	224	207	330	287	297	134	197	360	252	464	105	320
A2ML1	0	130	9	784	25	12	337	5	2617	244	2	7427	3235	9	1	5	6	11	110	2	6996	3	0
A2M	32854	15398	44093	15054	17081	32788	52388	58496	123107	168652	18203	60721	12442	24934	48374	55603	5703	51166	42751	29263	16193	13146	25083
A4GALT	243	223	996	678	822	942	828	599	1062	671	164	4432	2771	1074	949	540	137	574	1267	218	804	1571	253
A4GNT	0	2	3	3	4	2	5	12	4	0	1	2	1	8	9	4	0	2	4	2	3	0	1
AAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AAAS	2273	1572	2031	1123	2341	941	1134	2570	1826	1207	1225	1196	1309	1930	2294	1684	1206	2102	2103	2006	1118	2850	2392
AACSL	0	56	0	0	0	0	0	0	1	20	0	0	0	1	1	11	0	1	0	0	0	0	17
AACS	3183	5419	1758	1994	3505	1081	4019	5213	1567	1360	5315	2419	1937	4174	3574	2868	1839	2830	4362	2520	1858	11032	2329
AADACL2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
AADACL3	0	0	2	0	0	0	0	0	1	1	0	5	0	0	0	0	2	3	0	0	0	0	0
AADACL4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	1	159	330	0	0	1	0	27	46	1	1	1	3	2	0	0	1	4	0	0	0	0
AADAT	183	363	60	203	49	173	264	64	215	1068	69	117	320	111	106	565	131	135	176	59	392	7	257
AAGAB	7189	2889	5316	2352	6087	2005	1589	9537	4486	2130	3256	2304	4116	6977	7975	10625	1150	6874	4576	4881	4444	7984	12711
AAK1	1791	3300	2465	1943	1918	2577	1278	7349	7043	1996	1874	1375	2579	3558	3460	6197	810	3939	4130	4986	1350	1594	1042
AAMP	6031	11085	8485	6499	7971	5067	5347	8919	6222	8799	5331	4462	5887	6437	6517	7883	3226	8656	8046	5281	3780	13725	6746
AANAT	1	1	0	0	0	0	2	2	1	0	0	0	6	1	2	0	0	2	0	0	1	0	1
AARS2	1396	2061	600	1123	1365	573	1129	2054	1734	2387	806	916	2504	837	1671	859	644	2090	1131	1311	2483	1328	1545
AARSD1	1746	1367	806	1287	1709	482	1119	2005	1269	1922	1211	1103	987	1251	1139	1697	711	1010	1353	1060	775	2800	2944
AARS	10393	8090	4870	5285	4895	7977	6692	7155	11022	11446	6263	7290	8216	11118	7065	7882	2900	11946	15561	3246	6384	7845	11677
AASDHPPT	1983	2460	1658	1537	3198	4740	1669	2198	4648	2286	1842	1590	1844	4896	2729	4218	1306	2707	1538	3112	1276	1530	2119
AASDH	589	2070	341	321	1667	660	461	2127	1253	589	520	274	939	1937	1089	1704	143	1547	1051	1377	281	849	987
AASS	392	481	461	374	388	560	164	1435	711	1293	203	160	298	208	926	843	357	1511	270	2120	112	322	631
AATF	4458	3547	2005	2232	4705	1878	3173	4167	4981	4263	1652	2633	2619	3125	3227	3556	1116	2335	4545	2774	2521	3811	4125
AATK	89	876	114	156	159	64	135	137	100	296	463	89	95	572	112	123	32	405	812	46	392	122	63
ABAT	4567	967	4019	603	9596	545	202	4409	1001	1284	2161	223	220	5044	13284	4237	63	3206	2810	12397	103	13656	2091
ABCA10	5	1	25	1	29	11	46	109	89	15	7	37	1	59	66	108	29	165	23	133	9	37	13
ABCA11P	254	272	189	185	617	184	194	553	339	253	298	57	65	421	256	250	195	312	241	316	129	337	102
ABCA12	1801	51	2145	967	4994	14	30	61	10	9	4	20	24	4500	296	1580	22	56	6297	1649	30	24	10
ABCA13	2	267	1	5	0	105	39	18	62	119	3	93	9	3	6	12	993	16	922	13	94	0	1
ABCA17P	25	93	26	31	40	16	41	55	10	26	10	459	30	10	69	63	3	9	25	29	48	29	132
ABCA1	765	2567	1663	935	1522	3688	1094	3484	9669	2564	664	783	2955	1716	4744	5814	360	3696	2544	4037	976	280	1907
ABCA2	2174	2312	3482	1646	4733	2385	1086	6100	2039	4023	4645	1285	2418	9123	4781	5477	669	3804	5480	4723	1633	3363	1286
ABCA3	6412	8067	3293	2058	5872	2041	523	9617	1626	4428	4111	1703	589	11440	16028	10036	1704	6065	9935	6071	2975	9114	6302
ABCA4	1589	19	24	67	11	17	11	263	38	78	151	2379	2	45	160	19	31	45	126	1016	17	9	32
ABCA5	222	67	365	92	769	330	1176	2142	794	123	578	432	136	2903	940	3207	1495	1439	620	918	629	2004	1215
ABCA6	120	44	226	74	141	132	73	556	3244	546	36	105	58	689	767	725	140	601	333	443	17	21	102
ABCA7	1340	282	649	1123	454	144	1226	1214	945	122	907	303	609	462	940	955	244	1108	953	1300	974	1342	276
ABCA8	78	42	657	3	81	11	7	995	2357	512	40	88	24	407	592	314	6	744	440	455	27	6	10
ABCA9	57	26	196	13	87	26	35	357	897	523	22	44	17	310	629	659	21	724	347	389	8	81	37
ABCB10	2689	1495	904	466	2900	1408	1918	2058	2556	1510	621	1726	1482	4207	1764	3127	1075	1887	3743	1420	2032	1047	1284
ABCB11	4	0	2	0	0	0	0	5	4	0	4	1	5	0	8	9	0	2	0	3	2	0	0
ABCB1	139	64	187	34	112	18	102	511	953	167	126	79	184	173	429	514	20	837	203	339	36	53	74
ABCB4	48	56	55	60	35	81	15	86	259	46	47	32	9	118	194	127	23	364	96	165	26	8	54
ABCB5	16	2	30	3	4	10	4	85	7	28	3	12	0	5	18	15	24	46	22	15	2	2	4
ABCB6	1232	576	956	1217	1198	1202	693	1951	976	958	2367	723	887	2649	1274	2551	1416	692	1840	718	889	2775	1590
ABCB7	1370	1262	1421	276	1525	1026	619	2156	2266	1125	721	797	1026	1883	1820	1477	274	1586	1524	1929	786	1514	1405
ABCB8	3041	1006	1611	1367	2885	573	2066	3321	1613	1884	1423	980	1755	2215	2793	1727	739	1806	2364	2197	1434	4295	2053
ABCB9	379	308	256	582	242	54	562	657	278	277	81	721	253	58	674	417	176	754	865	986	415	383	459
ABCC10	669	1135	505	1201	1241	643	1003	1430	1641	1599	466	1121	2029	861	1076	1486	562	978	1108	1036	2495	760	716
ABCC11	3874	3	4100	2258	3753	2225	2	1241	9	1	635	3	7	626	47	573	3	37	421	1419	3	1327	26
ABCC12	12	1	71	4	71	15	0	2	0	0	0	0	0	1	0	4	0	0	0	14	0	10	1
ABCC13	0	0	2	1	64	441	0	4	0	0	114	0	0	0	95	31	3	2	3	0	1	0	0
ABCC1	3231	12506	2337	2797	4692	2668	1857	2813	7156	6674	684	2711	5996	7409	4349	7578	753	3705	3891	2914	2507	2243	3688
ABCC2	14	2	15	11	9	18	37	18	33	12	2	11	4	31	24	29	66	58	10	22	6	10	8
ABCC3	13243	529	519	3624	868	4042	310	1460	1830	517	1977	914	1039	2451	856	1669	1681	452	1468	700	471	245	199
ABCC4	140	319	416	158	169	459	331	458	2926	619	149	348	739	360	843	696	125	532	445	381	447	30	131
ABCC5	1999	2928	5627	660	1091	1884	1390	6262	2130	1820	1735	1300	2528	13047	13549	7333	780	5777	2002	19750	2078	227	1267
ABCC6P1	17	0	18	3	7	4	19	61	4	5	2	1	6	103	0	0	0	7	29	4	0	14	0
ABCC6P2	160	15	36	47	67	15	11	44	11	136	8	5	32	449	52	52	4	64	66	8	6	151	19
ABCC6	643	11	152	79	234	43	20	485	90	76	45	18	31	2074	340	39	13	1109	319	46	19	426	33
ABCC8	115	0	638	11	427	15	0	169	1	5	230	0	2	22	785	363	0	3687	1708	1515	2	7085	535
ABCC9	659	547	1138	463	284	1675	240	1181	4006	2118	121	129	190	666	803	1453	99	906	938	459	114	89	669
ABCD1	835	1771	1313	1054	822	423	4338	1607	1259	385	782	4830	2589	856	916	2082	1564	774	1116	902	3475	757	971
ABCD2	8	76	132	10	36	7	229	40	1192	50	19	30	60	32	68	70	11	168	90	65	10	2	11
ABCD3	12598	2618	3533	1792	5370	2860	2302	14811	4622	1381	4939	1825	3873	8724	10132	11890	1503	8201	4651	9281	1754	10462	11897
