	TCGA-A2-A0YJ-01	TCGA-E2-A14Z-01	TCGA-AO-A0J7-01	TCGA-AO-A03M-01	TCGA-BH-A18M-01	TCGA-BH-A28Q-01	TCGA-A8-A08O-01	TCGA-C8-A130-01	TCGA-BH-A8FY-01	TCGA-AO-A125-01	TCGA-E2-A10B-01	TCGA-AN-A0XO-01	TCGA-AO-A1KT-01	TCGA-E2-A15H-01	TCGA-D8-A27W-01	TCGA-AO-A0JI-01	TCGA-BH-A0C3-01	TCGA-A8-A09Q-01	TCGA-AR-A250-01	TCGA-E9-A22G-01	TCGA-BH-A201-01	TCGA-E2-A1L6-01	TCGA-AN-A0FY-01
Entrezid:100130426	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Entrezid:100133144	14	25	8	18	5	42	23	23	1	19	13	19	29	18	29	9	27	22	63	59	25	51	27
Entrezid:100134869	19	3	10	3	22	28	22	38	7	15	12	21	8	15	22	19	19	19	36	49	32	26	38
Entrezid:10357	380	260	268	455	226	312	245	1007	67	162	266	324	265	265	418	94	222	192	714	552	416	453	684
Entrezid:10431	2618	3235	3394	3696	2264	3177	2729	6061	2002	3153	3164	3001	4570	2750	3419	2549	2509	2853	3365	5494	3544	2734	2954
Entrezid:136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:155060	217	357	377	601	447	946	452	895	1009	1679	545	330	396	584	213	321	474	279	376	735	410	555	875
Entrezid:26823	0	1	1	0	0	2	5	1	1	4	1	1	1	3	2	2	2	1	3	2	3	2	3
Entrezid:280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:340602	2	0	0	14	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	2	0
Entrezid:388795	1	4	0	0	8	1	1	6	11	5	4	5	3	5	4	1	2	1	4	0	1	3	15
Entrezid:390284	3	12	18	27	17	26	5	22	15	8	14	12	15	9	20	10	4	28	16	39	29	36	20
Entrezid:391343	0	0	5	1	0	0	1	0	0	0	1	0	0	1	1	0	2	0	3	0	0	0	0
Entrezid:391714	1	0	0	0	3	0	1	2	0	0	0	0	1	0	0	3	0	1	0	3	0	0	1
Entrezid:404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Entrezid:441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:553137	0	26	0	2	3	0	1	58	5	0	3	3	48	0	6	17	4	2	2	2	6	1	11
Entrezid:57714	1992	826	709	12101	5524	3907	1690	1032	249	1168	4888	3991	1179	2544	8166	1192	5353	2950	4782	1346	2346	1223	1900
Entrezid:645851	18	41	16	22	27	53	38	74	24	74	35	24	40	23	7	12	11	49	177	18	35	40	75
Entrezid:652919	138	0	50	29	22	406	4	0	29	25	133	0	0	19	34	314	107	0	79	0	102	28	98
Entrezid:653553	471	986	2135	3846	1307	930	1111	780	1063	1234	810	927	3240	2805	2643	764	903	1310	1226	96	729	747	1563
Entrezid:728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:728603	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	9	0
Entrezid:728788	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	2	3	0	4	3	0	1	0
Entrezid:729884	0	0	1	3	3	6	3	0	4	25	16	10	85	30	0	2	17	0	10	7	216	160	0
Entrezid:8225	662	1832	1458	2014	975	1628	1109	2075	1233	2157	1465	1588	1045	1182	1624	1501	867	2385	908	618	1071	1279	1280
Entrezid:90288	0	269	492	65	121	421	32	121	342	498	755	201	187	76	42	115	21	181	59	11	61	296	22
A1BG	105	567	845	1380	269	579	266	1142	702	1548	475	757	550	168	1137	627	309	732	505	96	319	592	506
A1CF	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	3	0	0	3	1
A2BP1	0	0	1	2	10	2	0	10	0	0	5	2	0	0	0	1	0	0	0	1	4	1	8
A2LD1	125	317	134	166	295	232	173	191	80	227	169	164	218	202	512	366	191	362	267	765	345	388	128
A2ML1	3476	7	0	72	7	3	3	123	0	3	23	18	12	22	5	0	5	3	19	63590	6	2	0
A2M	8137	34122	9924	44625	42941	41045	29002	44369	15765	17920	26759	42385	32603	21159	47961	18141	57890	55583	51295	35399	62558	63984	27747
A4GALT	584	549	810	1760	735	672	614	953	372	507	702	900	1272	3268	1801	230	954	514	690	376	695	1928	1793
A4GNT	0	1	0	1	5	5	0	0	1	0	2	0	0	2	1	3	8	2	6	0	8	2	1
AAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1174	1271	3017	2232	1990	2649	1671	1648	2029	3002	3253	2703	3571	2161	3951	2311	1378	1904	2311	1419	1675	1943	3750
AACSL	0	0	0	5	4	2	2	2	0	3	1	2	0	2	22	3	7	4	0	0	0	2	52
AACS	3114	2128	3726	5891	3846	3832	2399	1704	1422	2021	7811	3267	5253	5178	6116	3023	2084	2423	3129	1531	4414	3453	3790
AADACL2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
AADACL4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AADAC	0	4	0	7	10	10	5	0	9	0	1	0	6	1	0	1	184	0	11	8	1	4	8
AADAT	140	160	29	96	79	78	117	108	9	2	56	73	97	85	504	400	136	50	152	1108	178	110	297
AAGAB	2350	3315	5651	5551	4708	6038	5336	4661	2052	3615	7358	4721	6727	3561	7398	6628	3776	5663	5478	3424	5282	6257	4543
AAK1	2220	2275	3311	2913	2543	3990	2235	2833	1542	1868	4661	3726	1981	1658	2903	3539	3057	2501	4224	3039	5197	3952	2935
AAMP	3572	7682	10037	8155	6029	8226	3405	6675	5841	5630	6694	8378	7988	4682	5404	4504	6030	10147	6123	5600	6918	5931	9288
AANAT	1	0	0	3	0	2	1	1	1	0	0	3	1	2	3	0	2	1	0	2	0	1	6
AARS2	3029	1160	770	1490	1141	1837	1437	1562	1131	1130	1592	1874	1125	1453	1065	1410	751	1461	2065	2906	1206	1116	1732
