	TCGA-BH-A18S-01	TCGA-E9-A22D-01	TCGA-D8-A27L-01	TCGA-S3-AA14-01	TCGA-E9-A1NI-01	TCGA-E2-A1IU-01	TCGA-E2-A1IF-01	TCGA-E2-A15K-01	TCGA-C8-A1HO-01	TCGA-D8-A1X9-01	TCGA-D8-A27M-01	TCGA-A2-A0CT-01	TCGA-E9-A227-01	TCGA-AR-A1AW-01	TCGA-A8-A08I-01	TCGA-AO-A0JJ-01	TCGA-BH-A0EB-01	TCGA-A8-A07O-01	TCGA-A2-A0CK-01	TCGA-E2-A15D-01	TCGA-E2-A1B5-01	TCGA-EW-A1P5-01	TCGA-A8-A06P-01	TCGA-BH-A0HQ-01	TCGA-A8-A079-01	TCGA-A2-A25E-01	TCGA-A7-A5ZX-01	TCGA-A2-A0ES-01	TCGA-C8-A1HM-01	TCGA-E2-A10C-01	TCGA-A8-A09N-01	TCGA-AN-A049-01	TCGA-AR-A2LN-01	TCGA-E2-A1B6-01	TCGA-C8-A134-01	TCGA-D8-A1XR-01	TCGA-A2-A25C-01	TCGA-BH-A18K-01	TCGA-D8-A1JL-01	TCGA-BH-A0DL-01	TCGA-E2-A155-01	TCGA-AO-A0JF-01	TCGA-A8-A07Z-01	TCGA-C8-A26V-01	TCGA-D8-A73U-01	TCGA-D8-A27F-01
Entrezid:100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:100133144	1	12	79	21	12	17	0	17	57	73	31	0	19	27	43	10	15	14	2	24	5	25	9	11	21	37	8	27	46	30	16	17	11	42	60	48	99	30	64	80	68	3	3	2	7	77
Entrezid:100134869	7	12	23	41	15	3	9	3	32	35	26	12	5	18	19	10	18	19	7	37	4	17	4	6	12	35	22	14	4	14	9	6	5	60	77	15	46	15	19	47	18	12	2	10	22	45
Entrezid:10357	183	831	286	168	182	239	188	394	225	388	261	142	361	303	694	141	418	298	281	252	224	283	287	202	298	228	379	227	273	196	231	249	111	620	693	358	1370	330	583	224	235	232	163	210	126	257
Entrezid:10431	3336	5316	2831	1049	2696	2420	2625	2710	3797	4098	2031	2155	3682	2364	2808	2567	3207	4010	1969	1954	2969	1609	3433	1759	2871	4721	1789	2151	2346	10530	2936	2514	909	8849	8685	3507	5216	4154	5284	2607	3299	2174	2731	3090	1381	5257
Entrezid:136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:155060	200	365	917	552	297	273	721	508	219	303	489	58	349	772	779	220	150	200	651	954	174	442	624	467	537	570	953	355	142	818	365	337	766	1056	917	722	543	445	311	269	481	250	202	356	742	624
Entrezid:26823	0	1	8	1	0	1	0	0	1	3	3	0	3	4	10	2	0	2	0	3	0	1	0	2	0	5	3	0	1	2	2	0	2	1	0	5	6	1	3	0	5	0	0	1	0	0
Entrezid:280660	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:340602	0	0	0	0	0	1	0	1	2	0	2	2	0	2	0	1	0	1	5	0	1	0	0	0	0	0	1	1	0	121	0	0	0	14	1	0	0	0	4	0	0	0	0	0	1	0
Entrezid:388795	1	9	14	6	3	1	2	2	0	1	2	0	3	5	11	0	1	0	1	0	2	0	8	2	2	7	3	2	1	7	0	12	7	1	3	3	1	3	3	3	3	2	8	0	4	4
Entrezid:390284	22	51	30	9	19	22	8	10	25	56	11	15	41	4	14	12	31	12	26	10	18	16	23	18	16	16	10	10	4	9	7	11	7	12	10	17	36	19	11	18	19	19	7	47	11	7
Entrezid:391343	0	1	3	1	2	1	0	0	7	2	0	0	4	1	0	2	0	1	1	12	0	0	0	0	0	7	0	7	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Entrezid:391714	0	1	1	0	0	0	0	0	1	1	1	1	0	0	3	0	1	0	0	0	0	0	1	0	0	0	1	2	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	2	0	2
Entrezid:404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Entrezid:553137	0	0	15	20	3	14	0	0	1	75	4	31	0	1	2	0	1	39	0	5	0	1	9	1	0	1	3	0	3	0	0	1	1	0	2	1	0	0	13	0	31	0	1	2	0	4
Entrezid:57714	779	1918	7425	1960	2563	1609	331	1313	2879	20257	13475	1139	1098	5998	14708	1635	2079	2825	327	1679	459	6888	3112	1993	6629	3092	410	1920	4004	1003	1895	3800	1593	1759	1617	3224	12646	1520	15800	3023	3353	2447	1307	7241	1785	5408
Entrezid:645851	7	25	45	61	19	14	13	23	49	75	32	26	11	51	107	12	9	20	24	28	7	29	22	27	34	55	23	24	127	33	14	21	44	28	32	53	57	41	31	52	45	9	8	17	24	36
Entrezid:652919	159	0	228	14	0	0	0	19	285	162	422	12	117	138	367	99	98	161	0	64	6	9	0	57	0	20	0	142	28	0	39	94	105	0	0	29	279	46	107	0	343	72	0	85	52	219
Entrezid:653553	206	1604	517	319	1773	343	871	845	907	1032	394	904	547	219	144	289	547	364	1186	762	703	1583	1780	586	1951	1459	500	445	623	898	1453	763	490	1234	725	217	909	2622	200	1401	2057	303	3079	1333	387	249
Entrezid:728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:728603	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:728788	1	0	0	0	0	2	0	2	3	0	4	0	2	0	14	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	8	0	11	0	0	2	0	6	0	0	1	0	0
Entrezid:729884	1	0	93	8	2	27	12	0	6	20	14	179	125	1	7	1	3	4	2	58	13	6	17	2	1	4	26	31	0	50	8	2	5	8	0	2	65	35	57	678	2	82	0	92	87	160
Entrezid:8225	1134	1876	1602	1478	1073	1040	1968	1386	1134	748	1176	650	1103	1177	1770	1180	974	1000	2161	1334	710	1036	1340	1630	2140	1079	1905	959	855	1137	830	1242	872	2102	1255	1413	1080	2324	1461	1070	981	1001	2125	1605	1302	1368
Entrezid:90288	418	53	812	36	252	263	360	239	334	33	9	37	244	177	163	94	195	10	106	341	31	91	70	260	97	138	100	104	37	68	81	167	47	38	10	137	201	136	34	8	192	99	332	42	28	14
A1BG	559	654	466	237	276	383	165	516	509	717	85	621	210	212	414	269	180	140	734	339	371	189	518	415	652	260	698	351	98	693	98	446	271	534	395	568	270	974	105	128	519	342	634	677	529	108
A1CF	1	0	1	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0
A2BP1	0	0	3	0	2	0	2	1	0	0	2	1	0	4	0	0	2	0	1	3	1	34	0	12	0	0	2	1	1	0	1	0	0	0	0	3	0	0	0	2	0	2	1	4	0	0
A2LD1	218	195	247	166	180	116	161	87	201	229	208	186	319	191	241	217	174	98	184	269	217	129	242	437	68	622	268	229	272	133	99	192	202	379	511	482	236	150	984	139	186	295	159	605	255	70
A2ML1	2	1	34	1	14	3	7	1	9	4	9494	168	4	19	12	2	4	3146	3	16	4	2	1	4	0	11	6	10	78	364	27	0	2	5579	8562	0	5	63	355	21165	3	102	1	1	13	34
