sample_name	TCGA-A2-A0EP-01	TCGA-A2-A0ER-01	TCGA-A2-A0YI-01	TCGA-A2-A25C-01	TCGA-A2-A25F-01	TCGA-A7-A13F-01	TCGA-A7-A5ZW-01	TCGA-A8-A079-01	TCGA-A8-A07O-01	TCGA-A8-A08G-01	TCGA-A8-A08R-01	TCGA-A8-A09N-01	TCGA-A8-A09Q-01	TCGA-AN-A0AJ-01	TCGA-AN-A0FD-01	TCGA-AN-A0XN-01	TCGA-AO-A03M-01	TCGA-AO-A03N-01	TCGA-AO-A03P-01	TCGA-AO-A0J3-01	TCGA-AO-A1KS-01	TCGA-AR-A1AW-01	TCGA-BH-A0C3-01	TCGA-BH-A0E6-01	TCGA-BH-A0EA-01	TCGA-BH-A18I-01	TCGA-BH-A18M-01	TCGA-BH-A201-01	TCGA-BH-A5IZ-01	TCGA-C8-A1HM-01	TCGA-C8-A274-01	TCGA-D8-A1JB-01	TCGA-D8-A1JL-01	TCGA-D8-A1JS-01	TCGA-D8-A1JU-01	TCGA-D8-A1XA-01	TCGA-D8-A27W-01	TCGA-E2-A14Z-01	TCGA-E2-A155-01	TCGA-E2-A15K-01	TCGA-E2-A15S-01	TCGA-E2-A1AZ-01	TCGA-E2-A1B6-01	TCGA-E2-A1LK-01	TCGA-E9-A1NF-01	TCGA-E9-A1NI-01	TCGA-E9-A22D-01	TCGA-E9-A295-01	TCGA-EW-A1P4-01	TCGA-S3-AA14-01
Entrezid:100130426	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Entrezid:100133144	7	26	59	99	10	0	0	21	14	84	78	16	22	44	0	13	18	3	41	44	57	27	27	26	10	40	5	25	22	46	68	27	64	0	23	23	29	25	68	17	65	9	42	11	17	12	12	1	3	21
Entrezid:100134869	18	10	31	46	15	3	11	12	19	54	43	9	19	6	14	8	3	0	32	44	46	18	19	2	21	24	22	32	31	4	73	13	19	5	15	26	22	3	18	3	34	10	60	10	12	15	12	8	7	41
Entrezid:10357	425	366	164	1370	375	193	409	298	298	417	491	231	192	386	345	162	455	177	429	436	679	303	222	503	164	311	226	416	295	273	276	151	583	264	249	94	418	260	235	394	228	228	620	120	159	182	831	146	345	168
Entrezid:10431	2398	3073	3542	5216	2598	2457	2170	2871	4010	3155	4016	2936	2853	4941	2430	1720	3696	7135	3691	3375	4444	2364	2509	6768	1369	3314	2264	3544	1910	2346	4705	2043	5284	4129	2310	1643	3419	3235	3299	2710	5266	2106	8849	3504	1664	2696	5316	2458	3321	1049
Entrezid:136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:155060	1219	329	365	543	234	100	537	537	200	1355	595	365	279	160	174	169	601	111	539	711	589	772	474	333	600	522	447	410	312	142	786	773	311	513	311	708	213	357	481	508	1762	368	1056	730	384	297	365	236	294	552
Entrezid:26823	1	1	5	6	0	1	1	0	2	9	0	2	1	1	0	1	0	0	7	3	3	4	2	0	4	2	0	3	0	1	8	3	3	1	2	1	2	1	5	0	1	1	1	0	0	0	1	1	0	1
Entrezid:280660	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Entrezid:317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entrezid:340602	3	0	0	0	3	0	2	0	1	1	79	0	1	1	0	1	14	0	0	4	0	2	0	12	0	1	0	0	0	0	1	0	4	0	0	1	0	0	0	1	1	0	14	0	0	0	0	0	1	0
